area_m2,costo_total_cop,tiempo_meses,materiales_cop,mano_obra_cop,personal_total,estrato,ciudad,tipo_obra,constructora
134.2,214268986.0,,,92608035.0,,5,Cali,,
99.6,176948621.0,19.0,48977031.0,93561126.0,30,6,Medellín,Vivienda,Constructora B
127.3,320242386.0m2,14.0,66406471.0,62380378.0,,5,Medellín,Industrial,Constructora C
69.0,268925215.0,15.0,55743723.0,95644007.0,11,3,,,Constructora B
142.6,196823945.0,17.0,,81243998.0,34,,Bogotá,Industrial,Constructora A
74.0,289967920.0,9.0,77312125.0,83347751.0,15,6,Medellín,Vivienda,Constructora A
,257267111.0,13.0h,73206079.0,71765688.0,21,4,Bogotá,Industrial,Constructora A
116.4,304209914.0,15.0,118961933.0,87209689.0,68,6,,Vivienda,Constructora B
95.8,270771211.0,16.0,61673145.0,99776051.0,29,6,Cali,Comercial,Constructora A
206.2,198222555.0,16.0,64177617.0,103140037.0,76,6,Cali,Vivienda,Constructora A
102.1,261131442.0,,51872080.0,94512670.0,16,2,,Industrial,Constructora B
134.2x,298641768.0,,108539251.0,91198965.0,99,6,Bogotá,Comercial,Constructora B
152.9,258487335.0,17.0,54309868.0,109709986.0,16,3,Cali,Comercial,Constructora A
83.5,258247982.0kg,15.0,72860900.0,86480479.0,52,4,,,Constructora B
160.3x,,12.0,65468706.0,93592712.0,89,3,Bucaramanga,Comercial,Constructora A
116.3,220977038.0,11.0,69018749.0,119368830.0,92,6,Bucaramanga,Comercial,Constructora C
150.4,255896921.0,13.0,77472938.0,67584777.0,95,4,Bogotá,Industrial,Constructora A
92.6,293119116.0,15.0,46332391.0,71496154.0,85,1,Medellín,,Constructora B
89.1,,11.0,64132011.0,75765613.0,52,4,Barranquilla,Comercial,Constructora B
156.3,234290795.0,13.0,87200229.0,84715394.0,34,,Bucaramanga,Industrial,Constructora C
,359991531.0,15.0,45181328.0,,23,6,Bogotá,Comercial,Constructora B
124.2,204529664.0,15.0,87629068.0,91968806.0,59,6,Cali,Industrial,Constructora C
139.2,240959858.0,11.0,59874233.0,,46,1,Medellín,Comercial,Constructora C
135.8,,8.0,91985583.0,109229170.0,,,Cali,,Constructora C
85.4m2,252256833.0,13.0,70430269.0,81151092.0,95,2,Cali,Industrial,Constructora B
53.6,293163032.0,8.0,,,93,1,Bucaramanga,Vivienda,Constructora B
69.5,293595252.0,,52496721.0,94714886.0,91,5,Barranquilla,Comercial,Constructora C
66.4,,16.0,,,72,1,Cali,Industrial,Constructora B
53.4h,315374325.0,15.0,90486332.0,105174066.0,65,3,Barranquilla,Industrial,Constructora A
100.6,251644906.0,10.0,58373212.0,112254227.0,44,2,Bucaramanga,Comercial,
104.1,284871785.0,13.0,128540886.0,75459462.0,67,6,Medellín,Comercial,Constructora B
,201770828.0,14.0,58827998.0,106621107.0,68,2,Bogotá,Vivienda,Constructora B
126.4,303085978.0,15.0,52336954.0,77603779.0,83,6,Cali,Industrial,Constructora A
108.5,220639585.0,17.0,98762393.0,84260707.0,57,6,Bucaramanga,,
,316211881.0,15.0,67408819.0,,52,5,Cali,Comercial,Constructora B
122.2,199350309.0,7.0,98251072.0,78685611.0,63,1,Medellín,Vivienda,Constructora B
90.1,267253277.0,15.0,62012026.0,85906503.0,19,6,Cali,Vivienda,Constructora B
98.6,,13.0,,89578436.0,93,3,Cali,Vivienda,Constructora B
121.1,266309336.0,13.0,79159547.0,96336433.0,83,4,Medellín,,Constructora C
99.7,243896302.0,14.0,80267608.0,85215857.0,34,,Bucaramanga,Industrial,
,329803066.0,13.0,89076251.0,85365260.0,74,4,,Vivienda,Constructora A
116.8,271431136.0,13.0,57321983.0,77101291.0,92,5,Medellín,Industrial,Constructora A
160.1,193725705.0,17.0,61886333.0,94391272.0,12,1,Medellín,Vivienda,Constructora B
129.6,225378177.0,17.0,72585476.0,97153305.0,99,1,Cali,,
109.9,313404821.0,18.0,68050435.0,73722571.0,67,5,Cali,Vivienda,Constructora B
102.4,206298808.0,17.0,74509331.0,94937853.0,84,,Bogotá,Comercial,Constructora B
116.6,342964025.0,16.0,85805614.0,111741885.0,88,,Barranquilla,Industrial,Constructora A
,232751264.0,15.0,64576605.0,96365041.0,20,5,Bogotá,Vivienda,
25.6,159357702.0,10.0,60535574.0,,65,4,Bogotá,Industrial,
136.1,,17.0,,95231050.0,67,5,Bogotá,Vivienda,Constructora A
127.0,205567999.0,,133098798.0,86613602.0,91,6,Medellín,Vivienda,Constructora B
146.0,64466027.0,14.0,89427485.0,80534808.0,95,4,Cali,Comercial,Constructora C
85.6,251594151.0,9.0,90839285.0,82635873.0,63,1,Cali,Comercial,Constructora C
183.4,185522058.0,12.0m2,66039137.0,84380604.0,83,4,Cali,Comercial,Constructora A
150.0,259477955.0,23.0,59123008.0,66167562.0,80,5,Bogotá,Vivienda,Constructora B
118.5,284674166.0,13.0,,70534617.0,,6,Bucaramanga,Industrial,Constructora C
124.8,290097540.0,16.0,109893947.0,106600196.0,90,,Cali,Industrial,Constructora C
98.5,238513632.0,,74454978.0,,53,4,Barranquilla,Comercial,Constructora C
