Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Bloque,Proveedor D,Norte,401.0,26.0,40.53,527.75tt,2015
Ladrillo,Proveedor B,Norte,706.0,1.0,164.35,992.97,2015
Teja,Proveedor A,Oeste,3270.0cm,,420.22,73.89,2015
Arena,Proveedor E,Este,799.0,2.0,16.66,553.9,2015
Bloque,Proveedor C,Centro,5188.0tt,22.0,408.1,969.31,2015
Adoquín,Proveedor D,Este,9431.0,16.0,143.82,523.15,2015
Madera,Proveedor C,Oeste,,25.0,63.44,629.44,2015
Bloque,Proveedor C,Oeste,1080.0,8.0,353.24tt,695.78,2015
Teja,Proveedor A,Este,3075.0,,316.28,454.6,2015
Arena,Proveedor C,Oeste,6202.0,21.0,,627.6,2015
Ladrillo,Proveedor E,Este,1284.0,1.0,369.84,584.36,2015
Teja,Proveedor C,Sur,3427.0,16.0,400.63,901.17,2015
Teja,Proveedor A,Este,3494.0,29.0,143.38,45.54,2015
Madera,Proveedor E,Este,8419.0,7.0,92.14,281.04,2015
Grava,Proveedor B,Oeste,1916.0,5.0,373.75,,2015
Arena,Proveedor C,Oeste,5954.0,22.0,401.56,890.27,2015
Acero,Proveedor A,Norte,6809.0,29.0,491.72,455.71,2015
Teja,Proveedor B,Norte,669.0,23.0,209.84,620.17,2015
Grava,Proveedor B,Sur,5542.0,,187.95,277.45,2015
Acero,Proveedor D,Norte,1995.0,12.0,388.12,188.2,2015
Arena,Proveedor E,Este,2833.0,26.0,180.29,463.75,2016
Cemento,Proveedor C,Oeste,3963.0,16.0,479.45,353.42,2016
Adoquín,Proveedor A,Norte,7555.0,19.0,444.25,583.7,2016
Grava,Proveedor D,Norte,4114.0,5.0,222.45,77.83,2016
Pintura,Proveedor E,Sur,1786.0,22.0,385.66,,2016
Cemento,Proveedor D,Sur,3109.0,25.0,386.38,986.21,2016
Adoquín,Proveedor E,Este,7906.0,29.0,57.36,698.19,2016
Madera,Proveedor E,Oeste,254.0,14.0,463.31,536.14,2016
Bloque,Proveedor C,Sur,1509.0,28.0,261.11,309.6,2016
Ladrillo,Proveedor E,Norte,884.0,5.0,423.12,813.81,2016
Pintura,Proveedor D,Oeste,8196.0,15.0,167.08,,2016
Madera,Proveedor E,Oeste,,17.0,461.38,162.7,2016
Arena,Proveedor C,Norte,7443.0,14.0,202.42,910.94,2016
Madera,Proveedor C,Sur,7306.0,20.0,10.64,822.55,2016
Bloque,Proveedor D,Norte,5696.0,5.0,466.79,949.8,2016
Arena,Proveedor B,Oeste,5901.0,12.0,51.89,725.75,2016.0
Pintura,Proveedor B,Centro,2906.0,16.0,166.45,613.45,2016.0
Bloque,Proveedor E,Centro,637.0,26.0,492.38,418.3,2016.0
Acero,Proveedor A,Este,6086.0,26.0,491.03,932.74,2016.0
Ladrillo,Proveedor E,Norte,1941.0,16.0,295.1,866.08,2016.0
Pintura,Proveedor D,Norte,8816.0,21.0,339.2,45.31,2015
Acero,Proveedor D,Este,7071.0,7.0,242.51,26.46,2017.0
Adoquín,Proveedor D,Este,5725.0,4.0,157.83,376.53,2017.0
Pintura,Proveedor D,Este,3050.0,1.0,177.0,810.57,2017.0
Adoquín,Proveedor D,Oeste,8092.0,5.0,360.24,987.28,2017.0
Arena,Proveedor C,Norte,4880.0,23.0,401.95,150.5,2017.0
Acero,Proveedor B,Oeste,2468.0,26.0,418.14,594.17,2017.0
Ladrillo,Proveedor D,Este,6755.0,10.0,417.31,380.95,2017.0
Bloque,Proveedor A,Norte,8273.0,22.0,53.03,969.92,2017.0
Teja,Proveedor A,Oeste,4595.0,5.0,264.65,842.13,2017.0
Madera,Proveedor A,Oeste,9263.0,4.0,35.58,838.34,2017.0
Cemento,Proveedor A,Este,,2.0,292.91,468.75,2017.0
Ladrillo,Proveedor C,Norte,6714.0,20.0,236.81,414.88,2017.0
Acero,Proveedor A,Este,9458.0,10.0,473.27,273.48,2017.0
Teja,Proveedor D,Norte,6019.0,26.0,187.77,56.47,2017.0
Ladrillo,Proveedor E,Centro,953.0,19.0,,864.74,2017.0
Acero,Proveedor A,Sur,4246.0,26.0,80.65,812.92,2017.0
Grava,Proveedor C,Sur,3869.0,1.0,407.89,999.72,2017.0
Grava,Proveedor C,Sur,674.0,24.0,329.75,996.64,2017.0
Adoquín,Proveedor A,Este,1248.0,5.0,58.4,555.48,2017.0
Ladrillo,Proveedor E,Centro,6393.0,,50.46,769.01,2018.0
Grava,Proveedor A,Norte,6557.0,4.0,383.29,,2018.0
Acero,Proveedor C,Oeste,7609.0,16.0,44.74,849.66,2018.0
Adoquín,Proveedor B,Norte,4877.0,24.0,446.76,247.42,2018.0
Acero,Proveedor D,Oeste,3954.0,16.0,384.87,450.6,2018.0
Adoquín,Proveedor C,Norte,2591.0,23.0,49.23,129.25,2018.0
Ladrillo,Proveedor A,Centro,3224.0,2.0,50.77,954.06,2018.0
