Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Pintura,Proveedor B,Sur,1637,5,18.85,644.85xx,2015
Adoquín,Proveedor D,Centro,3830,17,56.06,102.57,2015
Ladrillo,Proveedor C,Centro,6569,22,230.85,716.31,2015
Pintura,Proveedor E,Sur,2331hola,27,190.55,455.98,2015
Pintura,Proveedor B,Centro,2581,19,310.21,396.96,2015
Cemento,Proveedor C,Este,319,3,444.51,323.9,2015
Grava,Proveedor C,Centro,7011,7,351.93,475.01,2015
Ladrillo,Proveedor D,Norte,3261,19,27.01,867.02,2015
Adoquín,Proveedor E,Este,6519,1,81.91,941.85,2015
Adoquín,Proveedor B,Centro,5945,21,65.61,282.48,2015
Grava,Proveedor E,Sur,8788,2,360.21,844.83,2015
Teja,Proveedor D,Oeste,267,22,190.36,492.55,2015
Bloque,Proveedor B,Norte,2246,6,281.28,269.05,2015
Cemento,Proveedor B,Centro,8208,23ff,464.14,254.54,
Arena,Proveedor D,Este,1442gg,22,386.18,644.24,2015
Teja,Proveedor A,Oeste,2814,26,239.82,405.42,2015
Pintura,Proveedor E,Norte,2388,6,26.87,833.7,2015
Acero,Proveedor E,Centro,3208,14,259.47,435.49,2015
Bloque,Proveedor E,Este,7602,28,337.18,837.04,2015
Madera,Proveedor A,Oeste,1098,15,48.82,541.83,2015
Madera,Proveedor D,Este,7613,21,135.05,889.52,2016
Acero,Proveedor D,Este,2171,16,84.05,775.34,2016
Ladrillo,Proveedor A,Norte,4561,26,283.68,276.55,2016
Grava,Proveedor E,Este,5188,15,489.33,152.69,2016
Pintura,Proveedor A,Norte,1526,23,285.72,838.97,2016
Acero,Proveedor A,Este,7470,19,366.12,739.39,2016
Pintura,Proveedor E,Oeste,8284,2,392.83,103.35,2016
Teja,Proveedor D,Este,5520,2,166.75,426.96,2016
Pintura,Proveedor E,Oeste,1923,21,42.6,677.31,2016
Acero,Proveedor B,Centro,7487,25,274.77,438.59,2016
Cemento,Proveedor C,Este,2799,25,73.37,315.75,2016
Grava,Proveedor C,Centro,2006,14,50.48,861.18,2016
Arena,Proveedor E,Este,7009,24,94.84,730.62,2016
Acero,Proveedor E,Este,8382,22,309.17,151.98,2016
Grava,Proveedor B,Centro,4094,25,288.53,182.33,2016
Arena,Proveedor C,Oeste,3944,8,351.42,709.62,2016
Teja,Proveedor B,Centro,1472,15,360.09,670.06,2016
Bloque,Proveedor B,Norte,1508,2,393.28,438.09,2016
Cemento,Proveedor A,Centro,376,26,131.33,497.12,2016
Cemento,Proveedor E,Centro,7406,21,231.17,939.46,2016
Adoquín,Proveedor E,Norte,5581,7,56.07,979.13,2017
Madera,Proveedor E,Sur,4969,20,494.36,659.69,2017
Arena,Proveedor C,Centro,1439,27,26.34,404.14,2017
Grava,Proveedor A,Este,4205,23,472.73,733.83,2017
Pintura,Proveedor E,Centro,6945,18,86.21,489.51,2017
Pintura,Proveedor C,Este,184,14,55.17,751.83,2017
Teja,Proveedor A,Centro,3664,23,507.81,156.83,2017
Grava,Proveedor E,Norte,2615,16,145.58,281.32,2017
Acero,Proveedor E,Oeste,4292,9,168.74,226.8,2017
Acero,Proveedor B,Centro,5815,16,175.48,975.99,2017
Acero,Proveedor E,Este,5765,12,175.96,649.91,2017
Grava,Proveedor A,Sur,7471,1,506.49,221.55,2017
Grava,Proveedor E,Sur,2962,23,297.49,240.61,2017
Teja,Proveedor A,Oeste,3989,2,195.61,604.96,2017
Arena,Proveedor A,Norte,2429,27,81.62,872.04,2017
Ladrillo,Proveedor B,Sur,8775,21,329.5,111.85,2017
Cemento,Proveedor E,Norte,9924,21,291.76,899.7,2017
Cemento,Proveedor D,Oeste,7536,25,267.55,406.78,2017
Cemento,Proveedor C,Sur,8396,8,501.38,165.83,2017
Cemento,Proveedor E,Oeste,3631,9,380.02,354.84,2017
Madera,Proveedor D,Este,9945,12,97.06,124.42,2018
Madera,Proveedor B,Centro,2512,1,358.94,269.92,2018
