ID_Muestra,Nombre_Mineral,Tipo_Mineral,Densidad_g_cm3,Dureza_Mohs,Pureza_Porcentaje,Peso_Muestra_kg,Volumen_cm3,Uso_Principal,Pais_Origen,Anio_Descubrimiento
1,Caolín,Precioso,7.15,4.4,51.54,358.529,935.57,Electrónica,India,1548.0
2,Esmeralda,Precioso,11.59,1.3,,,258.48,Cerámica,India,
3,Hierro,No Metálico,15.76,4.8,,217.015,542.62,Cerámica,Chile,1928.0
4,Azufre,Precioso,8.38,1.8,92.93,,824.63,Automoción,Indonesia,2021.0
5,Azufre,Industrial,15.08,7.2,82.56,153.357,838.79,Joyería,Indonesia,1518.0
6,Mercurio,Metálico,14.72,2.7,85.32,288.885,490.75,Vidrio,Estados Unidos,1526.0
7,Cuarzo,Precioso,10.35,5.6,53.52%,327.532,372.86,Electrónica,Argentina,1933.0
8,Calcita,Energético,10.51,4.8,64.14,307.165,197.34,Generación de Energía,China,1891.0
9,Sal,No Metálico,19.52,5.6,77.75,133.63,942.47,Automoción,Canadá,1991.0
10,Barita,Metálico,4.82y,,50.19,488.749,293.8,Construcción,Ecuador,1735.0
11,Carbón,Metálico,3.41,8.1,50.87,,606.18,Construcción,China,1923.0
12,Cobre,Energético,11.67,4.2,80.71%,46.623,253.08,Electrónica,Rusia,1615.0
13,Platino,Precioso,8.53,3.3,53.8,111.357,351.72,Vidrio,Sudáfrica,1538.0
14,Azufre,Energético,14.56,10.0,,207.961,825.88,Aleaciones,Argentina,1927.0
15,Calcita,Energético,16.34,4.2,82.47,5.042,722.81,Vidrio,México,1933.0
16,Feldespato,Energético,5.98,1.9,79.83,30.381,808.49,Cosméticos,China,1981.0
17,Hierro,Energético,19.58,8.8,83.89%,477.443,423.44,Industria Química,Perú,1511.0
18,Uranio,Metálico,3.37,,82.29,209.161,852.97,Construcción,Colombia,1743.0
19,Plata,No Metálico,13.9,2.6,51.97,334.2,734.01,Joyería,Sudáfrica,1974.0
20,Zinc,Metálico,6.13,9.8,70.64,,399.16,Agricultura,Perú,1693.0
21,Calcita,Energético,3.82,,87.4,179.676,657.99,Industria Química,Bolivia,1948.0
22,Uranio,Energético,19.64,5.0,96.34,443.767,10.25,Automoción,Perú,1888.0
23,Granito,Metálico,,2.6,96.77,,735.46,Vidrio,China,1708.0
24,Yeso,Precioso,18.27,7.9,91.21,,,Automoción,Sudáfrica,1824.0
25,Mercurio,No Metálico,5.13x,2.2,85.84,126.583,984.06,Tecnología,Australia,1954.0
26,Yeso,Metálico,7.57,2.4,,,689.12,Joyería,Perú,1893.0
27,Plata,Metálico,17.87y,4.0,78.39,,858.64,Cosméticos,Argentina,1788.0
28,Grafito,Energético,11.83,5.0,59.5,,840.27,Generación de Energía,Canadá,1643.0
29,Níquel,Precioso,3.94,10.0,94.3,228.28,208.5,Cosméticos,México,1576.0
30,Granito,Industrial,4.84x,,69.17%,165.072,918.33,Electrónica,Rusia,1922.0
31,Cobre,Energético,1.77,6.4,70.52,483.526,603.26,Agricultura,Argentina,1617.0
32,Platino,Energético,7.47,4.7,81.75,204.749,488.55,Industria Química,Rusia,1789.0
33,Platino,No Metálico,4.54,,77.11,494.821,,Vidrio,Estados Unidos,1819.0
34,Fosfato,Metálico,11.27,7.8,,31.81,645.18,Construcción,Perú,1834.0
35,Calcita,Industrial,10.57y,9.9,,79.028,580.73,Aleaciones,India,1635.0
36,Azufre,Industrial,7.23,2.0,98.82,228.405,386.5,Tecnología,China,1823.0
37,Manganeso,No Metálico,2.91y,7.5,90.6,7.83,793.56,Aleaciones,Bolivia,1655.0
38,Zinc,Precioso,,7.5,80.22,476.403,588.04,Cerámica,Kazajistán,1716.0
39,Diamante,Precioso,18.93,5.3,77.0,441.657,305.29,Medicina,Canadá,1837.0
40,Fosfato,Industrial,11.48x,8.4,58.6,264.505,893.67,Cosméticos,Chile,1915.0
41,Azufre,No Metálico,9.39,4.0,50.76,263.264,69.92,Electrónica,Perú,1527.0
42,Caolín,Precioso,17.82y,,98.14%,,502.23,Industria Química,Estados Unidos,1941.0
43,Yeso,Precioso,14.41,4.6,97.01%,16.56,630.38,Electrónica,Chile,1553.0
44,Níquel,No Metálico,13.0,,68.63%,414.883,567.25,Medicina,Chile,1868.0
45,Carbón,Precioso,6.48,6.8,82.44,435.516,99.15,Agricultura,Colombia,1571.0
46,Granito,Industrial,1.84,6.9,,315.134,399.39,Cerámica,Australia,1580.0
47,Níquel,Metálico,8.92,1.3,80.69,413.438,,Electrónica,Estados Unidos,1862.0
48,Diamante,Energético,17.27,9.8,87.72,48.704,789.11,Automoción,India,1592.0
49,Grafito,No Metálico,8.3,2.6,67.35,169.337,37.95,Agricultura,Ecuador,1779.0
50,Carbón,Industrial,6.84,8.9,77.54,83.973,408.3,Agricultura,Rusia,1770.0
51,Diamante,Precioso,8.18,5.5,84.2,206.175,60.37,Generación de Energía,Chile,
52,Oro,Energético,12.54,7.8,54.18,105.214,,Electrónica,Estados Unidos,
53,Manganeso,Industrial,,,70.01,33.77,837.28,Cerámica,Indonesia,1774.0
54,Uranio,Precioso,14.36,6.7,80.18%,483.147,192.23,Vidrio,Indonesia,1659.0
55,Mercurio,Precioso,1.25,,,185.215,,Aleaciones,Bolivia,1880.0
56,Grafito,No Metálico,16.97,3.4,61.98,430.755,283.08,Vidrio,Estados Unidos,1818.0
57,Azufre,Metálico,,4.0,70.41,,872.94,Agricultura,Brasil,2023.0
58,Platino,Precioso,,5.9,59.92%,4.713,770.41,Electrónica,Australia,1677.0
59,Cuarzo,Metálico,15.22,9.9,,393.837,,Joyería,Indonesia,1775.0
